Date,Total_Portfolio_Value,pct_change
2023-07-20,108740.25,-0.00
2023-07-21,108846.97,0.00
2023-07-24,108941.60,0.00
2023-07-25,108809.53,-0.00
2023-07-26,108810.51,0.00
2023-07-27,108002.10,-0.01
2023-07-28,108774.34,0.01
2023-07-31,109194.23,0.00
2023-08-01,108744.04,-0.00
2023-08-02,108111.31,-0.01
2023-08-03,108205.57,0.00
2023-08-04,108588.79,0.00
2023-08-07,108948.12,0.00
2023-08-08,108605.44,-0.00
2023-08-09,108723.48,0.00
2023-08-10,108599.80,-0.00
2023-08-11,108622.86,0.00
2023-08-14,108610.09,-0.00
2023-08-15,107561.41,-0.01
2023-08-16,107217.04,-0.00
2023-08-17,106875.98,-0.00
2023-08-18,107023.99,0.00
2023-08-21,107015.43,-0.00
2023-08-22,106872.06,-0.00
2023-08-23,108030.28,0.01
2023-08-24,107121.10,-0.01
2023-08-25,107832.34,0.01
2023-08-28,108476.16,0.01
2023-08-29,109720.91,0.01
2023-08-30,109915.33,0.00
2023-08-31,109750.83,-0.00
2023-09-01,110127.67,0.00
2023-09-05,109855.29,-0.00
2023-09-06,109661.64,-0.00
2023-09-07,109362.25,-0.00
2023-09-08,109552.97,0.00
2023-09-11,109689.35,0.00
2023-09-12,109322.96,-0.00
2023-09-13,109270.17,-0.00
2023-09-14,110103.17,0.01
2023-09-15,109283.66,-0.01
2023-09-18,109435.07,0.00
2023-09-19,108599.74,-0.01
2023-09-20,108033.83,-0.01
2023-09-21,106834.07,-0.01
2023-09-22,106979.61,0.00
2023-09-25,107017.99,0.00
2023-09-26,105997.13,-0.01
2023-09-27,106264.15,0.00
2023-09-28,106687.58,0.00
2023-09-29,106557.67,-0.00
2023-10-02,106087.84,-0.00
2023-10-03,105357.62,-0.01
2023-10-04,105997.82,0.01
2023-10-05,106310.76,0.00
2023-10-06,106837.35,0.00
2023-10-09,106996.27,0.00
2023-10-10,107482.31,0.00
2023-10-11,107880.07,0.00
2023-10-12,107153.02,-0.01
2023-10-13,107322.13,0.00
2023-10-16,107573.21,0.00
2023-10-17,107443.53,-0.00
2023-10-18,106378.97,-0.01
2023-10-19,105761.96,-0.01
2023-10-20,105110.06,-0.01
2023-10-23,105169.20,0.00
2023-10-24,105532.69,0.00
2023-10-25,104748.79,-0.01
2023-10-26,104725.80,-0.00
2023-10-27,104225.57,-0.00
2023-10-30,104943.92,0.01
2023-10-31,104920.17,-0.00
2023-11-01,106489.68,0.01
2023-11-02,108085.00,0.01
2023-11-03,108529.49,0.00
2023-11-06,107940.74,-0.01
2023-11-07,108079.71,0.00
2023-11-08,108514.21,0.00
2023-11-09,108051.87,-0.00
2023-11-10,108947.77,0.01
2023-11-13,109064.72,0.00
2023-11-14,110829.14,0.02
2023-11-15,110051.17,-0.01
2023-11-16,110240.09,0.00
2023-11-17,110933.11,0.01
2023-11-20,111216.69,0.00
2023-11-21,111026.57,-0.00
2023-11-22,111298.64,0.00
2023-11-23,111198.89,-0.00
2023-11-24,111278.44,0.00
2023-11-27,110988.18,-0.00
2023-11-28,110914.33,-0.00
2023-11-29,111000.06,0.00
2023-11-30,111221.57,0.00
2023-12-01,112006.65,0.01
2023-12-04,111257.94,-0.01
2023-12-05,111698.59,0.00
2023-12-06,111752.32,0.00
2023-12-07,111898.10,0.00
2023-12-08,112124.56,0.00
2023-12-11,112319.52,0.00
2023-12-12,112519.45,0.00
2023-12-13,114067.26,0.01
2023-12-14,114569.45,0.00
2023-12-15,113818.52,-0.01
2023-12-18,113848.89,0.00
2023-12-19,114756.30,0.01
2023-12-20,113477.66,-0.01
2023-12-21,114155.51,0.01
2023-12-22,113722.55,-0.00
2023-12-26,113883.57,0.00
2023-12-27,113369.70,-0.00
2023-12-28,113375.19,0.00
2023-12-29,113327.35,-0.00
2024-01-02,112738.37,-0.01
2024-01-03,112743.05,0.00
2024-01-04,112964.23,0.00
2024-01-05,113151.74,0.00
2024-01-08,113841.90,0.01
2024-01-09,113610.49,-0.00
2024-01-10,114211.81,0.01
2024-01-11,114247.00,0.00
2024-01-12,114479.27,0.00
2024-01-15,114724.20,0.00
2024-01-16,114328.29,-0.00
2024-01-17,113847.61,-0.00
2024-01-18,114426.43,0.01
2024-01-19,115094.26,0.01
2024-01-22,115093.14,-0.00
2024-01-23,115419.52,0.00
2024-01-24,115272.71,-0.00
2024-01-25,116556.69,0.01
2024-01-26,116236.36,-0.00
2024-01-29,116700.13,0.00
2024-01-30,116675.09,-0.00
2024-01-31,116113.49,-0.00
2024-02-01,117231.15,0.01
2024-02-02,116842.58,-0.00
2024-02-05,116469.10,-0.00
2024-02-06,117497.51,0.01
2024-02-07,117540.89,0.00
2024-02-08,117181.87,-0.00
2024-02-09,117209.51,0.00
2024-02-12,117107.59,-0.00
2024-02-13,115654.82,-0.01
2024-02-14,117463.99,0.02
2024-02-15,118146.63,0.01
2024-02-16,117378.24,-0.01
2024-02-20,117215.10,-0.00
2024-02-21,117242.77,0.00
2024-02-22,118028.16,0.01
2024-02-23,118351.47,0.00
2024-02-26,118301.44,-0.00
2024-02-27,119266.96,0.01
2024-02-28,120137.52,0.01
2024-02-29,120520.44,0.00
2024-03-01,121221.06,0.01
2024-03-04,120962.65,-0.00
2024-03-05,120599.63,-0.00
2024-03-06,121332.83,0.01
2024-03-07,121596.62,0.00
2024-03-08,120765.55,-0.01
2024-03-11,120775.50,0.00
2024-03-12,121059.13,0.00
2024-03-13,121338.71,0.00
2024-03-14,120531.13,-0.01
2024-03-15,121039.75,0.00
2024-03-18,121012.80,-0.00
2024-03-19,121492.30,0.00
2024-03-20,122508.56,0.01
2024-03-21,122237.42,-0.00
2024-03-22,122550.35,0.00
2024-03-25,123134.37,0.00
2024-03-26,123012.75,-0.00
2024-03-27,123699.44,0.01
2024-03-28,123734.97,0.00
2024-04-01,122834.98,-0.01
2024-04-02,122595.10,-0.00
2024-04-03,123038.03,0.00
2024-04-04,121962.37,-0.01
2024-04-05,123073.10,0.01
2024-04-08,123459.24,0.00
2024-04-09,123503.76,0.00
2024-04-10,122719.79,-0.01
2024-04-11,123483.23,0.01
2024-04-12,122635.99,-0.01
2024-04-15,122011.01,-0.01
2024-04-16,121981.21,-0.00
2024-04-17,121949.18,-0.00
2024-04-18,121569.15,-0.00
2024-04-19,121452.99,-0.00
2024-04-22,121893.48,0.00
2024-04-23,122522.40,0.01
2024-04-24,122027.23,-0.00
2024-04-25,121866.23,-0.00
2024-04-26,122147.46,0.00
2024-04-29,122247.03,0.00
2024-04-30,120988.95,-0.01
2024-05-01,121652.46,0.01
2024-05-02,122355.11,0.01
2024-05-03,122910.35,0.00
2024-05-06,124069.32,0.01
2024-05-07,124314.35,0.00
2024-05-08,124684.95,0.00
2024-05-09,125432.61,0.01
2024-05-10,125061.86,-0.00
2024-05-13,124800.32,-0.00
2024-05-14,125672.61,0.01
2024-05-15,126655.27,0.01
2024-05-16,125953.26,-0.01
2024-05-17,126324.76,0.00
2024-05-20,126425.09,0.00
2024-05-21,127043.65,0.00
2024-05-22,126681.57,-0.00
2024-05-23,126370.27,-0.00
2024-05-24,127689.29,0.01
2024-05-27,127331.74,-0.00
2024-05-28,126621.88,-0.01
2024-05-29,125467.36,-0.01
2024-05-30,126443.05,0.01
2024-05-31,126656.10,0.00
2024-06-03,125783.12,-0.01
2024-06-04,125437.87,-0.00
2024-06-05,127061.65,0.01
2024-06-06,126859.98,-0.00
2024-06-07,125895.46,-0.01
2024-06-10,127335.62,0.01
2024-06-11,127242.66,-0.00
2024-06-12,127691.61,0.00
2024-06-13,127332.05,-0.00
2024-06-14,127043.34,-0.00
2024-06-17,127084.04,0.00
2024-06-18,127521.01,0.00
2024-06-19,127416.79,-0.00
2024-06-20,127520.78,0.00
2024-06-21,127192.59,-0.00
2024-06-24,127747.00,0.00
2024-06-25,127759.96,0.00
2024-06-26,127140.98,-0.00
2024-06-27,127290.23,0.00
2024-06-28,127021.75,-0.00
2024-07-01,126788.68,-0.00
2024-07-02,127506.58,0.01
2024-07-03,127944.88,0.00
2024-07-04,127688.01,-0.00
2024-07-05,127669.64,-0.00
2024-07-08,127803.70,0.00
2024-07-09,127492.66,-0.00
2024-07-10,128310.26,0.01
2024-07-11,128623.45,0.00
2024-07-12,129048.66,0.00
2024-07-15,129221.92,0.00
2024-07-16,130092.29,0.01
2024-07-17,128772.94,-0.01
2024-07-18,127836.34,-0.01
2024-07-19,128046.61,0.00
2024-07-22,129306.46,0.01
2024-07-23,129743.75,0.00
2024-07-24,128265.42,-0.01
2024-07-25,128470.44,0.00
2024-07-26,129747.57,0.01
2024-07-29,129788.24,0.00
2024-07-30,129736.40,-0.00
2024-07-31,131590.73,0.01
2024-08-01,129305.59,-0.02
2024-08-02,127930.15,-0.01
2024-08-05,126788.69,-0.01
2024-08-06,126981.71,0.00
2024-08-07,126304.94,-0.01
2024-08-08,127628.54,0.01
2024-08-09,127935.86,0.00
2024-08-12,127907.82,-0.00
2024-08-13,128933.95,0.01
2024-08-14,128956.93,0.00
2024-08-15,130347.34,0.01
2024-08-16,130494.91,0.00
2024-08-19,130778.21,0.00
2024-08-20,130143.56,-0.00
2024-08-21,130613.95,0.00
2024-08-22,129800.91,-0.01
2024-08-23,130947.66,0.01
2024-08-26,130419.90,-0.00
2024-08-27,130279.01,-0.00
2024-08-28,129588.77,-0.01
2024-08-29,130123.44,0.00
2024-08-30,130897.98,0.01
2024-09-03,128749.53,-0.02
2024-09-04,128941.57,0.00
2024-09-05,128430.39,-0.00
2024-09-06,127439.15,-0.01
2024-09-09,128662.64,0.01
2024-09-10,128935.33,0.00
2024-09-11,130023.96,0.01
2024-09-12,130821.00,0.01
2024-09-13,131588.95,0.01
2024-09-16,132311.58,0.01
2024-09-17,132329.51,0.00
2024-09-18,132020.87,-0.00
2024-09-19,133287.91,0.01
2024-09-20,134382.78,0.01
2024-09-23,134865.25,0.00
2024-09-24,134820.67,-0.00
2024-09-25,134108.07,-0.01
2024-09-26,134967.81,0.01
2024-09-27,135021.19,0.00
2024-09-30,135635.75,0.00
2024-10-01,135957.81,0.00
2024-10-02,135611.52,-0.00
2024-10-03,135372.79,-0.00
2024-10-04,136220.95,0.01
2024-10-07,135674.55,-0.00
2024-10-08,136410.26,0.01
2024-10-09,136688.77,0.00
2024-10-10,137058.56,0.00
2024-10-11,138138.58,0.01
2024-10-14,138848.80,0.01
2024-10-15,138634.53,-0.00
2024-10-16,139457.01,0.01
2024-10-17,139085.46,-0.00
2024-10-18,140212.53,0.01
2024-10-21,139578.99,-0.00
2024-10-22,139485.43,-0.00
2024-10-23,138632.22,-0.01
2024-10-24,139265.77,0.00
2024-10-25,139140.46,-0.00
2024-10-28,139844.44,0.01
2024-10-29,139619.41,-0.00
2024-10-30,139429.90,-0.00
2024-10-31,138305.39,-0.01
2024-11-01,138413.34,0.00
2024-11-04,137265.87,-0.01
2024-11-05,138665.85,0.01
2024-11-06,140334.91,0.01
2024-11-07,141935.20,0.01
2024-11-08,141642.17,-0.00
2024-11-11,141842.71,0.00
2024-11-12,141264.29,-0.00
2024-11-13,141252.91,-0.00
2024-11-14,141385.68,0.00
2024-11-15,141041.67,-0.00
2024-11-18,141827.47,0.01
2024-11-19,141772.59,-0.00
2024-11-20,141096.27,-0.00
2024-11-21,142387.48,0.01
2024-11-22,142721.76,0.00
2024-11-25,143267.00,0.00
2024-11-26,145075.36,0.01
2024-11-27,144321.07,-0.01
2024-11-28,144251.80,-0.00
2024-11-29,144965.40,0.00
2024-12-02,144636.53,-0.00
2024-12-03,144789.35,0.00
2024-12-04,145783.24,0.01
2024-12-05,145843.41,0.00
2024-12-06,145748.13,-0.00
2024-12-09,145413.23,-0.00
2024-12-10,145144.13,-0.00
2024-12-11,145738.29,0.00
2024-12-12,144933.42,-0.01
2024-12-13,144609.17,-0.00
2024-12-16,144485.51,-0.00
2024-12-17,144110.29,-0.00
2024-12-18,141650.49,-0.02
2024-12-19,142211.34,0.00
2024-12-20,142774.14,0.00
2024-12-23,143155.85,0.00
2024-12-24,144179.64,0.01
2024-12-26,144252.67,0.00
2024-12-27,143618.27,-0.00
2024-12-30,142423.14,-0.01
2024-12-31,141732.04,-0.00
2025-01-02,142947.51,0.01
2025-01-03,145396.16,0.02
2025-01-06,147033.44,0.01
2025-01-07,144960.24,-0.01
2025-01-08,144409.21,-0.00
2025-01-09,144566.51,0.00
2025-01-10,145673.46,0.01
2025-01-13,144565.94,-0.01
2025-01-14,145115.37,0.00
2025-01-15,148014.92,0.02
2025-01-16,148949.82,0.01
2025-01-17,150169.46,0.01
2025-01-20,150940.26,0.01
2025-01-21,150790.81,-0.00
2025-01-22,151475.30,0.00
2025-01-23,152035.77,0.00
2025-01-24,151419.40,-0.00
2025-01-27,148072.04,-0.02
2025-01-28,147876.59,-0.00
2025-01-29,148568.92,0.00
2025-01-30,150254.70,0.01
2025-01-31,150227.94,-0.00
2025-02-03,151531.09,0.01
