Date,Total_Portfolio_Value,pct_change
2023-03-16,101365.268368,0.011594
2023-03-17,99974.256485,-0.013723
2023-03-20,100917.336350,0.009433
2023-03-21,101582.922718,0.006595
2023-03-22,100630.904253,-0.009372
2023-03-23,100638.421620,0.000075
2023-03-24,101271.307870,0.006289
2023-03-27,101382.708621,0.001100
2023-03-28,100927.816086,-0.004487
2023-03-29,101442.986672,0.005104
2023-03-30,101561.036896,0.001164
2023-03-31,102386.305875,0.008126
2023-04-03,102461.426949,0.000734
2023-04-04,101355.749399,-0.010791
2023-04-05,101339.564014,-0.000160
2023-04-06,101374.979208,0.000349
2023-04-10,101916.639483,0.005343
2023-04-11,102390.313375,0.004648
2023-04-12,101966.764462,-0.004137
2023-04-13,102343.125427,0.003691
2023-04-14,101296.919660,-0.010223
2023-04-17,101810.240563,0.005067
2023-04-18,102074.500512,0.002596
2023-04-19,102311.373373,0.002321
2023-04-20,102661.751926,0.003425
2023-04-21,102749.129036,0.000851
2023-04-24,103457.574427,0.006895
2023-04-25,102424.555134,-0.009985
2023-04-26,102205.448609,-0.002139
2023-04-27,106726.960391,0.044239
2023-04-28,107386.072141,0.006176
2023-05-01,106995.538094,-0.003637
2023-05-02,106867.070500,-0.001201
2023-05-03,107135.024510,0.002507
2023-05-04,106465.461776,-0.006250
2023-05-05,106965.927957,0.004701
2023-05-08,106275.268910,-0.006457
2023-05-09,106092.485091,-0.001720
2023-05-10,106332.079335,0.002258
2023-05-11,106258.298135,-0.000694
2023-05-12,106620.825203,0.003412
2023-05-15,107072.692553,0.004238
2023-05-16,105833.941456,-0.011569
2023-05-17,106424.502904,0.005580
2023-05-18,106557.270904,0.001248
2023-05-19,106776.498451,0.002057
2023-05-22,106836.565100,0.000563
2023-05-23,105933.535892,-0.008452
2023-05-24,105533.207487,-0.003779
2023-05-25,105890.901033,0.003389
2023-05-26,106788.227753,0.008474
2023-05-29,106659.247822,-0.001208
2023-05-30,106642.442542,-0.000158
2023-05-31,106402.864934,-0.002247
2023-06-01,107107.708758,0.006624
2023-06-02,107472.105316,0.003402
2023-06-05,107180.468834,-0.002714
2023-06-06,107807.188982,0.005847
2023-06-07,107136.907923,-0.006217
2023-06-08,107390.765758,0.002369
2023-06-09,107340.334933,-0.000470
2023-06-12,107698.788413,0.003339
2023-06-13,108080.249686,0.003542
2023-06-14,108161.276774,0.000750
2023-06-15,108949.166432,0.007284
2023-06-16,108344.487741,-0.005550
2023-06-19,108156.688148,-0.001733
2023-06-20,107802.077232,-0.003279
2023-06-21,107554.613639,-0.002296
2023-06-22,106950.004995,-0.005621
2023-06-23,106645.464429,-0.002848
2023-06-26,107049.094380,0.003785
2023-06-27,107686.912552,0.005958
2023-06-28,108173.044046,0.004514
2023-06-29,108487.831184,0.002910
2023-06-30,109393.097115,0.008344
2023-07-03,109502.018482,0.000996
2023-07-04,109476.627533,-0.000232
2023-07-05,108755.060062,-0.006591
2023-07-06,108157.931514,-0.005491
2023-07-07,108544.078893,0.003570
2023-07-10,108521.510193,-0.000208
2023-07-11,109059.145895,0.004954
2023-07-12,109803.458433,0.006825
2023-07-13,110356.204652,0.005034
2023-07-14,109923.429356,-0.003922
2023-07-17,110553.689621,0.005734
2023-07-18,110987.798716,0.003927
2023-07-19,110810.573105,-0.001597
2023-07-20,110306.094089,-0.004553
2023-07-21,110409.965428,0.000942
2023-07-24,110504.219236,0.000854
2023-07-25,110426.837777,-0.000700
2023-07-26,110426.755224,-0.000001
2023-07-27,109624.640540,-0.007264
2023-07-28,110391.482114,0.006995
2023-07-31,110808.358520,0.003776
2023-08-01,110416.643067,-0.003535
2023-08-02,109788.349560,-0.005690
2023-08-03,109884.300029,0.000874
2023-08-04,110262.181891,0.003439
2023-08-07,110620.192439,0.003247
2023-08-08,110278.707686,-0.003087
2023-08-09,110394.755244,0.001052
2023-08-10,110272.144952,-0.001111
2023-08-11,110318.808952,0.000423
2023-08-14,110307.453712,-0.000103
2023-08-15,109267.175889,-0.009431
2023-08-16,108923.906040,-0.003142
2023-08-17,108601.585228,-0.002959
2023-08-18,108747.811142,0.001346
2023-08-21,108740.773845,-0.000065
2023-08-22,108599.301596,-0.001301
2023-08-23,109749.131769,0.010588
2023-08-24,108844.417316,-0.008243
2023-08-25,109760.417019,0.008416
2023-08-28,110400.039448,0.005827
2023-08-29,111640.565547,0.011237
2023-08-30,111834.340936,0.001736
2023-08-31,111671.876313,-0.001453
2023-09-01,112100.065408,0.003834
2023-09-05,111830.996495,-0.002400
2023-09-06,111639.666297,-0.001711
2023-09-07,111340.838999,-0.002677
2023-09-08,111531.122077,0.001709
2023-09-11,111666.958381,0.001218
2023-09-12,111301.420015,-0.003273
2023-09-13,111248.402647,-0.000476
2023-09-14,112084.424583,0.007515
2023-09-15,111342.923874,-0.006616
2023-09-18,111494.816883,0.001364
2023-09-19,110666.462628,-0.007430
2023-09-20,110102.750620,-0.005094
2023-09-21,108912.176570,-0.010813
2023-09-22,109056.541147,0.001326
2023-09-25,109149.615833,0.000853
2023-09-26,108134.986500,-0.009296
2023-09-27,108402.460234,0.002474
2023-09-28,108822.611525,0.003876
2023-09-29,108693.151787,-0.001190
2023-10-02,108282.741700,-0.003776
2023-10-03,107558.936187,-0.006684
2023-10-04,108194.708574,0.005911
2023-10-05,108508.814524,0.002903
2023-10-06,109033.739065,0.004838
2023-10-09,109191.372895,0.001446
2023-10-10,109672.468598,0.004406
2023-10-11,110065.562361,0.003584
2023-10-12,109343.992618,-0.006556
2023-10-13,109511.296635,0.001530
2023-10-16,109761.784221,0.002287
2023-10-17,109632.860418,-0.001175
2023-10-18,108574.958448,-0.009649
2023-10-19,107961.884455,-0.005647
2023-10-20,107313.304476,-0.006007
2023-10-23,107371.591339,0.000543
2023-10-24,107734.099767,0.003376
2023-10-25,107008.369942,-0.006736
2023-10-26,106983.176157,-0.000235
2023-10-27,106486.171890,-0.004646
2023-10-30,107201.501327,0.006718
2023-10-31,107178.905327,-0.000211
2023-11-01,108797.013706,0.015097
2023-11-02,110380.642992,0.014556
2023-11-03,110820.617877,0.003986
2023-11-06,110237.110661,-0.005265
2023-11-07,110375.360366,0.001254
2023-11-08,110820.123650,0.004030
2023-11-09,110360.462800,-0.004148
2023-11-10,111253.760930,0.008094
2023-11-13,111369.436827,0.001040
2023-11-14,113122.588546,0.015742
2023-11-15,112349.131619,-0.006837
2023-11-16,112563.866147,0.001911
2023-11-17,113252.010869,0.006113
2023-11-20,113534.368802,0.002493
2023-11-21,113559.010956,0.000217
2023-11-22,113830.023206,0.002387
2023-11-23,113731.133460,-0.000869
2023-11-24,113810.784211,0.000700
2023-11-27,113521.273315,-0.002544
2023-11-28,113450.702881,-0.000622
2023-11-29,113533.999272,0.000734
2023-11-30,113754.043411,0.001938
2023-12-01,114590.301220,0.007351
2023-12-04,113845.219985,-0.006502
2023-12-05,114281.913688,0.003836
2023-12-06,114335.506749,0.000469
