Date,CAD_Holdings_MV,USD_Holdings_MV,CAD_Cash,USD_Cash,Total_Cash_CAD,Total_Holdings_CAD,Total_Portfolio_Value
2022-10-28,0.0,7801.1900634765625,91987.0715887332,25.54,92022.90420866014,10945.069636738233,102967.97384539837
2022-10-31,0.0,7898.260009765625,91987.0715887332,25.54,92022.90420866014,11081.258771104069,103104.16297976421
2022-11-01,0.0,7955.470031738281,91987.0715887332,25.54,92022.90420866014,11161.524431768026,103184.42864042817
2022-11-02,0.0,7719.500091552734,91987.0715887332,25.54,92022.90420866014,10830.45860636282,102853.36281502296
2022-11-03,0.0,7662.890045166016,91987.0715887332,25.54,92022.90420866014,10751.034711444216,102773.93892010435
2022-11-04,0.0,7958.649963378906,91987.0715887332,25.54,92022.90420866014,11165.985875850725,103188.89008451087
2022-11-07,0.0,8072.5299072265625,91987.0715887332,25.54,92022.90420866014,11325.759436743174,103348.66364540331
2022-11-08,0.0,8003.310150146484,91987.0715887332,25.54,92022.90420866014,11228.644117757864,103251.54832641801
2022-11-09,0.0,7838.760101318359,91987.0715887332,32.82,92033.1180486393,10997.780399722786,103030.89844836209
2022-11-10,0.0,8259.94985961914,91987.0715887332,32.82,92033.1180486393,11588.709629413748,103621.82767805304
2022-11-11,0.0,8448.529815673828,91987.0715887332,32.82,92033.1180486393,11853.287307218943,103886.40535585824
2022-11-14,0.0,8349.650024414062,91987.0715887332,32.82,92033.1180486393,11714.55896036439,103747.67700900369
2022-11-15,0.0,8422.670013427734,91987.0715887332,32.82,92033.1180486393,11817.00600474166,103850.12405338096
2022-11-16,0.0,8347.079956054688,91987.0715887332,32.82,92033.1180486393,11710.95315446354,103744.07120310284
2022-11-17,0.0,8327.22982788086,91987.0715887332,32.82,92033.1180486393,11683.10342469245,103716.22147333175
2022-11-18,0.0,8399.24984741211,91987.0715887332,32.82,92033.1180486393,11784.147511888743,103817.26556052805
2022-11-21,0.0,8334.770050048828,91987.0715887332,32.82,92033.1180486393,11693.682356372537,103726.80040501183
2022-11-22,0.0,8424.239959716797,91987.0715887332,32.82,92033.1180486393,11819.208639380722,103852.32668802002
2022-11-23,0.0,8488.720184326172,91987.0715887332,32.82,92033.1180486393,11909.674394323196,103942.7924429625
2022-11-24,0.0,8488.720184326172,91987.0715887332,32.82,92033.1180486393,11909.674394323196,103942.7924429625
2022-11-25,0.0,8512.049987792969,91987.0715887332,32.82,92033.1180486393,11942.406108520365,103975.52415715967
2022-11-28,0.0,8362.950256347656,91987.0715887332,32.82,92033.1180486393,11733.21918572917,103766.33723436846
2022-11-29,0.0,8327.329833984375,91987.0715887332,35.86,92037.38316863061,11683.243733255396,103720.626901886
2022-11-30,0.0,8608.56005859375,91987.0715887332,35.86,92037.38316863061,12077.809737577743,104115.19290620835
2022-12-01,0.0,8642.079833984375,91987.0715887332,35.86,92037.38316863061,12124.83798235489,104162.2211509855
2022-12-02,0.0,8673.02001953125,91987.0715887332,35.86,92037.38316863061,12168.247062588634,104205.63023121924
2022-12-05,0.0,8537.64990234375,91987.0715887332,35.86,92037.38316863061,11978.322788561869,104015.70595719248
2022-12-06,0.0,8388.61001586914,91987.0715887332,35.86,92037.38316863061,11769.219828264399,103806.602996895
2022-12-07,0.0,8399.020050048828,91987.0715887332,35.86,92037.38316863061,11783.825106188717,103821.20827481932
2022-12-08,0.0,8457.449920654297,91987.0715887332,35.86,92037.38316863061,11865.80221448102,103903.18538311163
2022-12-09,0.0,8341.429992675781,91987.0715887332,35.86,92037.38316863061,11703.026255859098,103740.40942448971
2022-12-12,0.0,8450.689910888672,91987.0715887332,35.86,92037.38316863061,11856.317920799189,103893.7010894298
2022-12-13,0.0,8482.629913330078,91987.0715887332,35.86,92037.38316863061,11901.1297441331,103938.5129127637
2022-12-14,0.0,8447.070007324219,91987.0715887332,35.86,92037.38316863061,11851.239196108618,103888.62236473922
2022-12-15,0.0,8128.449981689453,91987.0715887332,35.86,92037.38316863061,11404.21530105462,103441.59846968522
2022-12-16,0.0,8121.279846191406,91987.0715887332,35.86,92037.38316863061,11394.155600971375,103431.53876960199
2022-12-19,0.0,8113.740081787109,91987.0715887332,35.86,92037.38316863061,11383.577311533718,103420.96048016433
2022-12-20,0.0,8146.1099853515625,91987.0715887332,35.86,92037.38316863061,11428.992286142035,103466.37545477264
2022-12-21,0.0,8261.570007324219,91987.0715887332,35.86,92037.38316863061,11590.982696639338,103628.36586526994
2022-12-22,0.0,8141.999755859375,91987.0715887332,35.86,92037.38316863061,11423.225634176255,103460.60880280686
2022-12-23,0.0,8174.8001708984375,91987.0715887332,35.86,92037.38316863061,11469.244616382217,103506.62778501282
2022-12-27,0.0,8183.680023193359,91987.0715887332,35.86,92037.38316863061,11481.703049126587,103519.0862177572
2022-12-28,0.0,8082.149932861328,91987.0715887332,35.86,92037.38316863061,11339.256332681227,103376.63950131183
2022-12-29,0.0,8248.650115966797,91987.0715887332,35.86,92037.38316863061,11572.856089101839,103610.23925773245
2022-12-30,0.0,8208.650177001953,91987.0715887332,35.86,92037.38316863061,11516.736174848604,103554.11934347921
2023-01-03,0.0,8173.5999755859375,91987.0715887332,35.86,92037.38316863061,11467.560742362213,103504.94391099282
2023-01-04,0.0,8323.190063476562,91987.0715887332,35.86,92037.38316863061,11677.43563524478,103714.81880387539
2023-01-05,0.0,8267.569885253906,91987.0715887332,35.86,92037.38316863061,11599.400525357523,103636.78369398814
