Date,CAD_Cash,USD_Cash,Total_CAD
2022-10-27,91987.0715887332,25.54,92021.80036875725
2022-10-28,91987.0715887332,25.54,92021.80036875725
2022-10-31,91987.0715887332,25.54,92021.80036875725
2022-11-01,91987.0715887332,25.54,92021.80036875725
2022-11-02,91987.0715887332,25.54,92021.80036875725
2022-11-03,91987.0715887332,25.54,92021.80036875725
2022-11-04,91987.0715887332,25.54,92021.80036875725
2022-11-07,91987.0715887332,25.54,92021.80036875725
2022-11-08,91987.0715887332,25.54,92021.80036875725
2022-11-09,91987.0715887332,32.82,92031.10093084336
2022-11-10,91987.0715887332,32.82,92031.10093084336
2022-11-11,91987.0715887332,32.82,92031.10093084336
2022-11-14,91987.0715887332,32.82,92031.10093084336
2022-11-15,91987.0715887332,32.82,92031.10093084336
2022-11-16,91987.0715887332,32.82,92031.10093084336
2022-11-17,91987.0715887332,32.82,92031.10093084336
2022-11-18,91987.0715887332,32.82,92031.10093084336
2022-11-21,91987.0715887332,32.82,92031.10093084336
2022-11-22,91987.0715887332,32.82,92031.10093084336
2022-11-23,91987.0715887332,32.82,92031.10093084336
2022-11-24,91987.0715887332,32.82,92031.10093084336
2022-11-25,91987.0715887332,32.82,92031.10093084336
2022-11-28,91987.0715887332,32.82,92031.10093084336
2022-11-29,91987.0715887332,35.86,92035.44636882545
2022-11-30,91987.0715887332,35.86,92035.44636882545
2022-12-01,91987.0715887332,35.86,92035.44636882545
2022-12-02,91987.0715887332,35.86,92035.44636882545
2022-12-05,91987.0715887332,35.86,92035.44636882545
2022-12-06,91987.0715887332,35.86,92035.44636882545
2022-12-07,91987.0715887332,35.86,92035.44636882545
2022-12-08,91987.0715887332,35.86,92035.44636882545
2022-12-09,91987.0715887332,35.86,92035.44636882545
2022-12-12,91987.0715887332,35.86,92035.44636882545
2022-12-13,91987.0715887332,35.86,92035.44636882545
2022-12-14,91987.0715887332,35.86,92035.44636882545
2022-12-15,91987.0715887332,35.86,92035.44636882545
2022-12-16,91987.0715887332,35.86,92035.44636882545
2022-12-19,91987.0715887332,35.86,92035.44636882545
2022-12-20,91987.0715887332,35.86,92035.44636882545
2022-12-21,91987.0715887332,35.86,92035.44636882545
2022-12-22,91987.0715887332,35.86,92035.44636882545
2022-12-23,91987.0715887332,35.86,92035.44636882545
2022-12-27,91987.0715887332,35.86,92035.44636882545
2022-12-28,91987.0715887332,35.86,92035.44636882545
2022-12-29,91987.0715887332,35.86,92035.44636882545
2022-12-30,91987.0715887332,35.86,92035.44636882545
2023-01-03,91987.0715887332,35.86,92035.44636882545
2023-01-04,91987.0715887332,35.86,92035.44636882545
2023-01-05,91987.0715887332,35.86,92035.44636882545
2023-01-06,91987.0715887332,38.71,92039.56196365476
2023-01-09,91987.0715887332,38.71,92039.56196365476
2023-01-10,91987.0715887332,38.71,92039.56196365476
2023-01-11,91987.0715887332,38.71,92039.56196365476
2023-01-12,91987.0715887332,38.71,92039.56196365476
2023-01-13,91987.0715887332,38.71,92039.56196365476
2023-01-16,91987.0715887332,38.71,92039.56196365476
2023-01-17,91987.0715887332,38.71,92039.56196365476
2023-01-18,91987.0715887332,38.71,92039.56196365476
2023-01-19,91987.0715887332,38.71,92039.56196365476
2023-01-20,91987.0715887332,38.71,92039.56196365476
2023-01-23,91987.0715887332,38.71,92039.56196365476
2023-01-24,91987.0715887332,38.71,92039.56196365476
2023-01-25,91987.0715887332,38.71,92039.56196365476
2023-01-26,91987.0715887332,38.71,92039.56196365476
2023-01-27,91987.0715887332,38.71,92039.56196365476
2023-01-30,91987.0715887332,38.71,92039.56196365476
2023-01-31,91987.0715887332,38.71,92039.56196365476
2023-02-01,91987.0715887332,38.71,92039.56196365476
2023-02-02,91987.0715887332,38.71,92039.56196365476
2023-02-03,91987.0715887332,38.71,92039.56196365476
2023-02-06,91987.0715887332,38.71,92039.56196365476
2023-02-07,91987.0715887332,38.71,92039.56196365476
2023-02-08,91987.0715887332,38.71,92039.56196365476
2023-02-09,91987.0715887332,38.71,92039.56196365476
2023-02-10,91987.0715887332,38.71,92039.56196365476
2023-02-13,91987.0715887332,38.71,92039.56196365476
2023-02-14,91987.0715887332,38.71,92039.56196365476
2023-02-15,91987.0715887332,38.71,92039.56196365476
2023-02-16,91987.0715887332,38.71,92039.56196365476
2023-02-17,91987.0715887332,38.71,92039.56196365476
2023-02-21,91987.0715887332,38.71,92039.56196365476
2023-02-22,91987.0715887332,38.71,92039.56196365476
2023-02-23,91987.0715887332,38.71,92039.56196365476
2023-02-24,91987.0715887332,38.71,92039.56196365476
2023-02-27,91987.0715887332,38.71,92039.56196365476
2023-02-28,91987.0715887332,41.75,92043.74303624869
2023-03-01,91987.0715887332,41.75,92043.74303624869
2023-03-02,91987.0715887332,41.75,92043.74303624869
2023-03-03,91987.0715887332,41.75,92043.74303624869
2023-03-06,91987.0715887332,41.75,92043.74303624869
2023-03-07,91987.0715887332,41.75,92043.74303624869
2023-03-08,91987.0715887332,50.15,92056.01780706883
2023-03-09,91987.0715887332,50.15,92056.01780706883
2023-03-10,91987.0715887332,50.15,92056.01780706883
2023-03-13,91987.0715887332,50.15,92056.01780706883
2023-03-14,91987.0715887332,50.15,92056.01780706883
2023-03-15,91987.0715887332,50.15,92056.01780706883
2023-03-16,91987.0715887332,50.15,92056.01780706883
2023-03-17,91987.0715887332,50.15,92056.01780706883
2023-03-20,91987.0715887332,50.15,92056.01780706883
2023-03-21,91987.0715887332,50.15,92056.01780706883
2023-03-22,91987.0715887332,50.15,92056.01780706883
2023-03-23,91987.0715887332,50.15,92056.01780706883
2023-03-24,91987.0715887332,50.15,92056.01780706883
2023-03-27,91987.0715887332,50.15,92056.01780706883
2023-03-28,91987.0715887332,50.15,92056.01780706883
2023-03-29,91987.0715887332,50.15,92056.01780706883
2023-03-30,91987.0715887332,50.15,92056.01780706883
2023-03-31,91987.0715887332,50.15,92056.01780706883
2023-04-03,91987.0715887332,50.15,92056.01780706883
2023-04-04,91987.0715887332,50.15,92056.01780706883
2023-04-05,91987.0715887332,53.0,92058.2929860139
2023-04-06,91987.0715887332,53.0,92058.2929860139
2023-04-10,91987.0715887332,53.0,92058.2929860139
2023-04-11,91987.0715887332,53.0,92058.2929860139
2023-04-12,91987.0715887332,53.0,92058.2929860139
2023-04-13,91987.0715887332,53.0,92058.2929860139
2023-04-14,91987.0715887332,53.0,92058.2929860139
2023-04-17,91987.0715887332,53.0,92058.2929860139
2023-04-18,91987.0715887332,53.0,92058.2929860139
2023-04-19,91987.0715887332,53.0,92058.2929860139
2023-04-20,91987.0715887332,53.0,92058.2929860139
2023-04-21,91987.0715887332,53.0,92058.2929860139
2023-04-24,91987.0715887332,53.0,92058.2929860139
2023-04-25,91987.0715887332,53.0,92058.2929860139
2023-04-26,91987.0715887332,53.0,92058.2929860139
2023-04-27,1350.4506021285197,0.0,1350.4506021285197
2023-04-28,1350.4506021285197,0.0,1350.4506021285197
2023-05-01,1350.4506021285197,38.595,1402.781946401014
2023-05-02,1350.4506021285197,38.595,1402.781946401014
2023-05-03,1350.4506021285197,38.595,1402.781946401014
2023-05-04,1350.4506021285197,38.595,1402.781946401014
2023-05-05,1350.4506021285197,38.595,1402.781946401014
2023-05-08,1350.4506021285197,38.595,1402.781946401014
2023-05-09,1350.4506021285197,38.595,1402.781946401014
2023-05-10,1350.4506021285197,38.595,1402.781946401014
2023-05-11,1350.4506021285197,45.644999999999996,1411.4875552791498
2023-05-12,1350.4506021285197,46.605,1413.3347298818967
2023-05-15,1350.4506021285197,46.605,1413.3347298818967
2023-05-16,1350.4506021285197,46.605,1413.3347298818967
2023-05-17,1350.4506021285197,46.605,1413.3347298818967
2023-05-18,1350.4506021285197,46.605,1413.3347298818967
2023-05-19,1350.4506021285197,59.504999999999995,1430.7686629980942
2023-05-22,1350.4506021285197,59.504999999999995,1430.7686629980942
2023-05-23,1350.4506021285197,59.504999999999995,1430.7686629980942
2023-05-24,1563.4896021285197,59.504999999999995,1643.8177783986469
2023-05-25,1563.4896021285197,59.504999999999995,1643.8177783986469
2023-05-26,1563.4896021285197,59.504999999999995,1643.8177783986469
2023-05-29,1563.4896021285197,59.504999999999995,1643.8177783986469
2023-05-30,1563.4896021285197,62.544999999999995,1648.5570585611006
2023-05-31,1563.4896021285197,62.544999999999995,1648.5570585611006
2023-06-01,1563.4896021285197,102.535,1702.5885878613135
2023-06-02,1563.4896021285197,102.535,1702.5885878613135
2023-06-05,1563.4896021285197,110.935,1712.4564418223044
2023-06-06,1563.4896021285197,110.935,1712.4564418223044
2023-06-07,1563.4896021285197,110.935,1712.4564418223044
2023-06-08,1563.4896021285197,110.935,1712.4564418223044
2023-06-09,1563.4896021285197,110.935,1712.4564418223044
2023-06-12,1563.4896021285197,110.935,1712.4564418223044
2023-06-13,1563.4896021285197,110.935,1712.4564418223044
2023-06-14,1572.4096021285197,110.935,1720.1162279834887
2023-06-15,1572.4096021285197,110.935,1720.1162279834887
2023-06-16,1572.4096021285197,168.265,1794.8879102709434
2023-06-19,1572.4096021285197,168.265,1794.8879102709434
2023-06-20,1572.4096021285197,168.265,1794.8879102709434
2023-06-21,1572.4096021285197,168.265,1794.8879102709434
2023-06-22,1572.4096021285197,168.265,1794.8879102709434
2023-06-23,1572.4096021285197,168.265,1794.8879102709434
2023-06-26,1625.0206021285198,168.265,1846.5364312166116
2023-06-27,1625.0206021285198,168.265,1846.5364312166116
2023-06-28,1625.0206021285198,168.265,1846.5364312166116
2023-06-29,1625.0206021285198,168.265,1846.5364312166116
2023-06-30,1625.0206021285198,168.265,1846.5364312166116
2023-07-03,1625.0206021285198,207.79,1900.3423620367191
2023-07-04,1625.0206021285198,207.79,1900.3423620367191
2023-07-05,1625.0206021285198,207.79,1900.3423620367191
2023-07-06,1625.0206021285198,210.64,1904.8748071932935
2023-07-07,1625.0206021285198,210.64,1904.8748071932935
2023-07-10,1625.0206021285198,210.64,1904.8748071932935
2023-07-11,1625.0206021285198,210.64,1904.8748071932935
2023-07-12,1625.0206021285198,210.64,1904.8748071932935
2023-07-13,1625.0206021285198,210.64,1904.8748071932935
2023-07-14,1625.0206021285198,210.64,1904.8748071932935
2023-07-17,1625.0206021285198,210.64,1904.8748071932935
2023-07-18,1625.0206021285198,210.64,1904.8748071932935
2023-07-19,1625.0206021285198,210.64,1904.8748071932935
2023-07-20,1625.0206021285198,210.64,1904.8748071932935
2023-07-21,1625.0206021285198,210.64,1904.8748071932935
2023-07-24,1625.0206021285198,210.64,1904.8748071932935
2023-07-25,1677.63160212852,210.64,1955.1413640818737
2023-07-26,1677.63160212852,210.64,1955.1413640818737
2023-07-27,1677.63160212852,210.64,1955.1413640818737
2023-07-28,1677.63160212852,210.64,1955.1413640818737
2023-07-31,1677.63160212852,210.64,1955.1413640818737
2023-08-01,1677.63160212852,251.71499999999997,2009.6940399227285
2023-08-02,1677.63160212852,251.71499999999997,2009.6940399227285
2023-08-03,1677.63160212852,251.71499999999997,2009.6940399227285
2023-08-04,1677.63160212852,251.71499999999997,2009.6940399227285
2023-08-07,1677.63160212852,251.71499999999997,2009.6940399227285
2023-08-08,1677.63160212852,251.71499999999997,2009.6940399227285
2023-08-09,1677.63160212852,251.71499999999997,2009.6940399227285
2023-08-10,1677.63160212852,251.71499999999997,2009.6940399227285
2023-08-11,1677.63160212852,269.24499999999995,2039.626129876151
2023-08-14,1677.63160212852,269.24499999999995,2039.626129876151
2023-08-15,1677.63160212852,269.24499999999995,2039.626129876151
2023-08-16,1677.63160212852,269.24499999999995,2039.626129876151
2023-08-17,1677.63160212852,282.1449999999999,2059.5599992875004
2023-08-18,1677.63160212852,282.1449999999999,2059.5599992875004
2023-08-21,1677.63160212852,282.1449999999999,2059.5599992875004
2023-08-22,1677.63160212852,282.1449999999999,2059.5599992875004
2023-08-23,1677.63160212852,282.1449999999999,2059.5599992875004
2023-08-24,1677.63160212852,282.1449999999999,2059.5599992875004
2023-08-25,1885.33360212852,282.1449999999999,2268.678373505368
2023-08-28,1885.33360212852,282.1449999999999,2268.678373505368
2023-08-29,1885.33360212852,285.18499999999995,2273.216585163369
2023-08-30,1885.33360212852,285.18499999999995,2273.216585163369
2023-08-31,1887.58360212852,285.18499999999995,2273.590069244995
